,Title,Author,Publication Date
72,"The Promised Neverland, Vol. 3","by Kaiu Shirai,  Posuka Demizu", (04/03/2018)
73,"The Promised Neverland, Vol. 1","by Kaiu Shirai,  Posuka Demizu", (12/05/2017)
74,"Toilet-bound Hanako-kun, Vol. 1",by AidaIro, (01/28/2020)
75,From Blood and Ash,by Jennifer L. Armentrout, (09/24/2020)
76,Walk in My Combat Boots: True Stories from America's Bravest Warriors,"by James Patterson,  Matt Eversmann", (02/08/2021)
77,Faithless in Death: An Eve Dallas Novel (In Death Series #52),by J. D. Robb, (02/09/2021)
78,"Demon Slayer: Kimetsu no Yaiba, Vol. 2",by Koyoharu Gotouge, (09/04/2018)
79,"Red, White & Royal Blue",by Casey McQuiston, (05/14/2019)
80,The Nightingale,by Kristin Hannah, (04/25/2017)
81,"Spy x Family, Vol. 1",by Tatsuya Endo, (06/02/2020)
82,The Russian (Michael Bennett Series #13),"by James Patterson,  James O. Born", (01/25/2021)
83,"The Promised Neverland, Vol. 2","by Kaiu Shirai,  Posuka Demizu", (02/06/2018)
84,Claudia and the New Girl (The Baby-sitters Club Graphic Novel #9),"by Ann M. Martin,  Gabriela Epstein", (02/02/2021)
85,The Seven Husbands of Evelyn Hugo,by Taylor Jenkins Reid, (05/29/2018)
86,"Tokyo Ghoul, Vol. 1",by Sui Ishida, (06/16/2015)
87,The Cruel Prince (Folk of the Air Series #1),by Holly Black, (12/04/2018)
88,"The Black Church: This Is Our Story, This Is Our Song",by Henry Louis Gates Jr., (02/16/2021)
89,"The Contagion Myth: Why Viruses (including ""Coronavirus"") Are Not the Cause of Disease","by Thomas S. Cowan MD,  Sally Fallon Morell", (09/29/2020)
90,All the Stars and Teeth,by Adalyn Grace, (01/26/2021)
91,Realm Breaker (Signed Book),by Victoria Aveyard, (05/04/2021)
92,Kingdom of the Wicked,"by Kerri Maniscalco,  Marisa Calin", (10/27/2020)
93,Plant Over Processed: 75 Simple & Delicious Plant-Based Recipes for Nourishing Your Body and Eating From the Earth,by Andrea Hannemann, (12/29/2020)
94,Lore,by Alexandra Bracken, (01/05/2021)
95,Legendborn,by Tracy Deonn, (09/15/2020)
96,The Glass Hotel: A novel,by Emily St. John Mandel, (02/16/2021)
97,Serpent & Dove (Serpent & Dove Series #1),by Shelby Mahurin, (08/04/2020)
98,"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",by George Saunders, (01/12/2021)
99,"Demon Slayer: Kimetsu no Yaiba, Vol. 3",by Koyoharu Gotouge, (11/06/2018)
100,Between Two Kingdoms: A Memoir of a Life Interrupted,by Suleika Jaouad, (02/09/2021)
101,"Demon Slayer: Kimetsu no Yaiba, Vol. 20",by Koyoharu Gotouge, (02/02/2021)
102,The House in the Cerulean Sea,by TJ Klune, (12/29/2020)
103,The Desolations of Devil's Acre (Signed B&N Exclusive Book) (Miss Peregrine's Peculiar Children Series #6),by Ransom Riggs, (02/23/2021)
104,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",by Bessel van der Kolk M.D., (09/08/2015)
105,Six of Crows (Six of Crows Series #1),by Leigh Bardugo, (02/06/2018)
106,"Red, White & Royal Blue",by Casey McQuiston, (05/14/2019)
107,The Tale of the Mandarin Duck: A Modern Fable,by Bette Midler, (02/16/2021)
108,Nomadland: Surviving America in the Twenty-First Century,by Jessica Bruder, (09/04/2018)
109,Kingdom of the Wicked,"by Kerri Maniscalco,  Marisa Calin", (10/27/2020)
110,"Attack on Titan, Volume 1",by Hajime Isayama, (06/19/2012)
111,Realm Breaker (Signed Book),by Victoria Aveyard, (05/04/2021)
112,A Gambling Man (Signed Book),by David Baldacci, (04/20/2021)
113,The Dutch House: A Novel,by Ann Patchett, (01/05/2021)
114,Untamed,by Glennon Doyle, (03/10/2020)
115,Circe,by Madeline Miller, (04/14/2020)
116,"Horimiya, Vol. 1",by HERO, (10/27/2015)
117,From Blood and Ash,by Jennifer L. Armentrout, (09/24/2020)
118,Fly Away: A Novel,by Kristin Hannah, (03/25/2014)
119,All the Stars and Teeth,by Adalyn Grace, (01/26/2021)
120,A Court of Silver Flames (A Court of Thorns and Roses Series #4),by Sarah J. Maas, (02/16/2021)
121,A Court of Silver Flames (A Court of Thorns and Roses Series #4),by Sarah J. Maas, (02/16/2021)
122,The Viscount Who Loved Me (Bridgerton Series #2) (With 2nd Epilogue),by Julia Quinn, (04/28/2015)
123,The Four Winds,by Kristin Hannah, (02/02/2021)
124,"Jujutsu Kaisen, Vol. 2",by Gege Akutami, (02/04/2020)
125,An Offer from a Gentleman (Bridgerton Series #3) (with 2nd Epilogue),by Julia Quinn, (08/25/2015)
126,Romancing Mister Bridgerton (Bridgerton Series #4) (With 2nd Epilogue),by Julia Quinn, (11/24/2015)
127,Just as I Am,by Cicely Tyson, (01/26/2021)
128,"Jujutsu Kaisen, Vol. 3",by Gege Akutami, (04/07/2020)
129,Firefly Lane,by Kristin Hannah, (01/06/2009)
130,"To Sir Phillip, with Love (Bridgerton Series #5) (With 2nd Epilogue)",by Julia Quinn, (01/31/2017)
131,They Both Die at the End,by Adam Silvera, (12/18/2018)
132,"World of Wonders: In Praise of Fireflies, Whale Sharks, and Other Astonishments (B&N Exclusive Gift Edition) (B&N Book of the Year)",by Aimee Nezhukumatathil, (12/02/2020)
133,Eight Perfect Murders,by Peter Swanson, (01/26/2021)
134,A Court of Thorns and Roses (A Court of Thorns and Roses Series #1),by Sarah J. Maas, (06/02/2020)
135,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,by Bill Gates, (02/16/2021)
